paper,repo,page,placement
nime2023_28.pdf,github.com/ccrma/webchuck,,inferred
nime2023_29.pdf,cm-gitlab.stanford.edu/audio/,3,footnote
nime2023_32.pdf,github.com/victor-shepardson/living-looper,,footnote
nime2023_36.pdf,github.com/erikstifjell/FLAPIBox,,footnote
nime2023_37.pdf,github.com/alexdrymonitis/LiveLily,,body
nime2023_38.pdf,github.com/mojtabak-rob/Zrob,3,footnote
nime2023_39.pdf,github.com/VincentCusson/eTube,1,footnote
nime2023_41.pdf,github.com/victorzappi/LDSP,,body
nime2023_44.pdf,github.com/GLepri/Oscillations,,footnote
nime2023_59.pdf,github.com/malloyca/steelpan-pitch,,footnote (missing)
nime2023_60.pdf,github.com/ideoforms/abletonosc,last,body
nime2023_61.pdf,github.com/adanlbenito/bend_sensor_breakout,,footnote
nime2023_64.pdf,github.com/huriphoonado/laptopclass/,,inferred
nime2023_65.pdf,gitlab.com/redspills/,,footnote
nime2023_66.pdf,github.com/eringee/BioData,,citation
nime2023_67.pdf,gitlab.huma-num.fr/bbdmi/bbdmi,1,body
nime2023_68.pdf,github.com/Hughav92/feedback_mop_cello,1,footnote
nime2023_72.pdf,github.com/echo-lab/sharp,,inferred
nime2023_75.pdf,yewlife.github.io/MuGeVI/,1,body
nime2023_80.pdf,github.com/RebelTechnology/BioSignals,,body
nime2023_88.pdf,asciml.github.io/ASCIML/,1,body
nime2023_95.pdf,github.com/SFRL/sketchsynth,,body
nime2023_96.pdf,github.com/aquietlife/harvester,,appendix
nime2023_98.pdf,github.com/Barnard-PL-Labs/MaxPy,2,body
nime2024_12.pdf,github.com/cerdemo/2groove,9,body
nime2024_14.pdf,github.com/yannseznec/periodInstrument,5,footnote
nime2024_15.pdf,github.com/DillonSimeone/Gestolumina,4,footnote
nime2024_16.pdf,github.com/hathuwic/CordChord,1,footnote
nime2024_21.pdf,zeynepozcan.github.io/juggling/,3,footnote
nime2024_24.pdf,github.com/musicinmotion-dev/MiM,3,footnote
nime2024_37.pdf,github.com/EllDy96/Augmented-Guitar-Pedalboard,3,footnote
nime2024_39.pdf,groovetransformer.github.io/,4,body
nime2024_42.pdf,github.com/Intelligent-Instruments-Lab/tolvera,1,footnote
nime2024_45.pdf,github.com/timeFliesWhenYoureHavingFun/Baremin,2,body
nime2024_52.pdf,github.com/ccrma/chugl,,inferred
nime2024_55.pdf,jordieshier.com/projects/nime2024/,,footnote (missing)
nime2024_56.pdf,git.iem.at/sidlab/dextoria,,citation
nime2024_59.pdf,github.com/ayuusweetfish/Malletwand,,appendix
nime2024_64.pdf,github.com/AudioGroupCologne/IVES,last,body
nime2024_65.pdf,github.com/grundton/grain_bau/,,citation
nime2024_68.pdf,zenodo.org/records/11047599,,footnote
nime2024_69.pdf,github.com/shx-vhs/xyborg,1,footnote
nime2024_71.pdf,github.com/DocSunset/sygaldry,,inferred
nime2024_72.pdf,github.com/CIMIL/Esteso,2,footnote
nime2024_74.pdf,github.com/muses-dmi/dmi-design-study,3,footnote
nime2024_75.pdf,ctechfilmuniversity.github.io/project_ClimaSynth/,2,footnote
nime2024_76.pdf,github.com/Intelligent-Instruments-Lab/about-time-patches,4,footnote
nime2024_80.pdf,github.com/ccrma/chuck,,inferred
nime2024_83.pdf,github.com/aschmidt99/LorentzLapBrass,2,body
nime2024_86.pdf,github.com/jasper-zheng/unsupervised-sketch-to-sound,3,footnote
nime2024_87.pdf,github.com/IDMIL/Haptic-Toolkit,last,body
nime2024_90.pdf,github.com/zeroonefoursix/frugalcmossynthesis,,citation
nime2025_9,github.com/BelaPlatform/pybela,1,footnote
nime2025_10,fcaspe.github.io/BravePlugin,1,footnote
nime2025_14,github.com/nbrochec/nime2025,3,footnote
nime2025_15,github.com/lewiswolf/drum-modal-feedback,4,footnote
nime2025_16,NIME2025OrganPerformance.github.io,last,body
nime2025_21,www.alternatural.nz/conference-media,1,footnote
nime2025_32,vault.oddworlds.org/s/634PXnGcoQmqStL,1,footnote
nime2025_36,github.com/victor-shepardson/living-looper,2,footnote
nime2025_37,brittneyjuliet.github.io/material-culture/,2,footnote
nime2025_38,github.com/aschmidt99/Sparksichord_NIME2025,,missing
nime2025_39,github.com/linneakirby/HAND,last,appendix
