paper,repo,page,placement
nime2020_paper16,github.com/imui-org/SnoeSky,,footnote
nime2020_paper19,github.com/giuliomoro/flute-key/,,footnote
nime2020_paper29,github.com/pccadaptiveinstrumentsteam/,,body
nime2020_paper39,github.com/Harri-Renney/ThereAndBackAgain-NIME,,body
nime2020_paper42,github.com/adampultz/faab_nime_2020,,footnote
nime2020_paper43,github.com/gwendal-le-vaillant/MIEM_Experiments,,body
nime2020_paper45,miem.laras.be,,body (dead)
nime2020_paper46,github.com/alexmlucas/d1,,footnote
nime2020_paper52,github.com/IDMIL/TorqueTuner,,body
nime2020_paper54,github.com/probatio,,footnote
nime2020_paper55,github.com/DocSunset/making_mappings_scripts,,inferred
nime2020_paper64,github.com/SopiMlab/SoundingBrush,,body
nime2020_paper65,github.com/SopiMlab/DeepLearningWithAudio,,body
nime2020_paper66,github.com/chriskiefer/liveCCC,,footnote
nime2020_paper70,github.com/sparkletop/forces,,body
nime2020_paper71,github.com/postnature/delta-control,,body
nime2020_paper76,github.com/KonVas/Ipsosboard,,body
nime2020_paper98,github.com/satvik-venkatesh/,,footnote
nime2020_paper99,github.com/fdch/pathosonic,,footnote
